Saham;ESG Score
AALI;33.94
ABMM;42.57
ACES;19.96
ADMR;54.02
ADRO;46.87
AGII;33.22
AKRA;20.91
AMMN;38.69
AMRT;31.05
ANTM;33.69
APIC;29.96
APLN;26.77
ARKO;48.15
ARTO;33.19
ASII;36.40
AUTO;26.54
AVIA;17.26
BANK;24.80
BBCA;21.45
BBKP;34.44
BBNI;21.35
BBRI;18.41
BBTN;28.02
BDMN;24.28
BEBS;39.80
BELI;25.82
BEST;27.45
BFIN;26.75
BIPI;24.30
BJBR;33.38
BJTM;22.46
BKSL;29.57
BMHS;32.26
BMRI;9.48
BMTR;18.58
BNGA;22.63
BNLI;28.60
BOGA;12.46
BREN;20.92
BRIS;28.48
BRMS;49.22
BRPT;29.20
BSDE;23.42
BTPS;32.53
BUKA;25.06
BULL;30.99
BUMI;46.55
BYAN;51.21
CARE;26.73
CASA;35.36
CITA;14.09
CLEO;36.16
CMRY;20.72
CPIN;38.85
CTRA;20.74
CUAN;54.97
DCII;28.09
DMAS;26.06
DOID;44.49
DSSA;52.44
ELSA;36.44
EMTK;13.34
ENRG;27.35
ERAA;17.03
ESSA;42.84
EXCL;25.50
FILM;15.89
FIRE;54.96
GEMS;50.86
GGRM;45.25
GIAA;31.58
GJTL;28.10
GOTO;18.65
GTRA;22.54
HEAL;28.86
HMSP;27.34
HOKI;45.90
HRUM;50.06
ICBP;31.57
IMPC;27.52
INCO;23.74
INDF;33.62
INDY;40.62
INKP;26.08
INTP;27.28
IPTV;20.64
IRRA;15.30
ISAT;29.59
ITMG;31.84
JPFA;42.62
JSMR;11.23
KAEF;40.28
KBLI;32.32
KIJA;25.56
KLBF;28.40
KPIG;22.84
LINK;26.71
LPKR;24.25
LPPF;23.08
LSIP;28.42
MAIN;48.41
MAPA;19.67
MAPI;23.84
MBMA;34.08
MCOL;55.90
MDIY;18.13
MDKA;27.80
MEDC;37.45
MIDI;31.16
MIKA;26.27
MLPL;27.22
MNCN;17.14
MPMX;8.67
MTDL;27.96
MTEL;19.34
MYOR;37.39
NCKL;36.79
NISP;27.90
OMED;28.19
PANI;28.33
PGAS;23.53
PGEO;7.65
PNBN;33.42
PNLF;29.69
POWR;27.16
PPRE;40.61
PSAB;47.28
PTBA;45.14
PTMP;25.53
PTPP;32.29
PTRO;32.84
PURA;27.43
PWON;19.66
RAJA;40.21
RALS;23.91
RMKE;21.78
SCMA;14.80
SGER;57.32
SIDO;21.58
SILO;26.21
SMBR;32.14
SMDR;23.30
SMGR;26.02
SMMT;52.65
SMRA;28.39
SMSM;19.32
SRIL;18.80
SRTG;27.30
SSIA;42.48
SSMS;33.28
STAA;45.11
TAPG;40.10
TBIG;24.80
TBLA;48.06
TCPI;29.62
TINS;36.37
TKIM;26.93
TLKM;24.58
TOWR;24.24
TPIA;16.37
TRAM;36.08
ULTJ;36.80
UNTR;45.33
UNVR;20.64
WEGE;31.09
WIFI;32.05
WIIM;36.96
WIKA;33.18
WOOD;14.11
WSBP;34.38
WSKT;42.40
WTON;33.79
